Time,Year,Name,Country,Place,Gender
286,1861,"N.S.,Greene",IRL,NA,Male
273,1862,"George,Farran",IRL,NA,Male
269.8,1868,"Walter,Chinnery",GBR,NA,Male
268.8,1868,"William,Gibbs",GBR,NA,Male
268.6,1873,"Charles,Gunton",GBR,NA,Male
266,1874,"Walter,Slade",GBR,NA,Male
264.5,1875,"Walter,Slade",GBR,London,Male
263.2,1880,"Walter,George",GBR,NA,Male
259.4,1882,"Walter,George",GBR,NA,Male
258.4,1884,"Walter,George",GBR,NA,Male
257.8,1893,"Tom,Conneff",USA,NA,Male
257,1895,"Fred,Bacon",GBR,London,Male
255.6,1895,"Thomas,Conneff",USA,"New,York",Male
255.4,1911,"John,Paul,Jones",USA,NA,Male
254.4,1913,"John,Paul,Jones",USA,"Cambridge,MA",Male
252.6,1915,"Norman,Taber",USA,"Cambridge,MA",Male
250.4,1923,"Paavo,Nurmi",FIN,Stockholm,Male
249.2,1931,"Jules,Ladoumegue",FRA,Paris,Male
247.6,1933,"Jack,Lovelock",NZL,"Princeton,NJ",Male
246.8,1934,"Glenn,Cunningham",USA,"Princeton,NJ",Male
246.4,1937,"Sydney,Wooderson",GBR,"Motspur,Park",Male
246.2,1942,"Gunder,Hagg",SWE,Goteborg,Male
246.2,1942,"Arne,Andersson",SWE,Stockholm,Male
244.6,1942,"Gunder,Hagg",SWE,Stockholm,Male
242.6,1943,"Arne,Andersson",SWE,Goteborg,Male
241.6,1944,"Arne,Andersson",SWE,Malmo,Male
241.4,1945,"Gunder,Hagg",SWE,Malmo,Male
239.4,1954,"Roger,Bannister",GBR,Oxford,Male
238,1954,"John,Paul,Landy",AUS,Turku,Male
237.2,1957,"Derek,Ibbotson",GBR,London,Male
234.5,1958,"Herb,Elliott",AUS,Dublin,Male
234.4,1962,"Peter,Snell",NZL,Wanganui,Male
234.1,1964,"Peter,Snell",NZL,Auckland,Male
233.6,1965,"Michel,Jazy",FRA,Rennes,Male
231.3,1966,"Jim,Ryun",USA,"Berkeley,CA",Male
231.1,1967,"Jim,Ryun",USA,"Bakersfield,CA",Male
231,1975,"Filbert,Bayi",TAN,Kingston,Male
229.4,1975,"John,Walker",NZL,Goteborg,Male
228.95,1979,"Sebastian,Coe",GBR,Oslo,Male
228.8,1980,"Steve,Ovett",GBR,Oslo,Male
228.53,1981,"Sebastian,Coe",GBR,Zurich,Male
228.4,1981,"Steve,Ovett",GBR,Koblenz,Male
227.33,1981,"Sebastian,Coe",GBR,Bruxelles,Male
226.32,1985,"Steve,Cram",GBR,Oslo,Male
224.39,1993,"Noureddine,Morceli",ALG,Rieti,Male
223.13,1999,"Hicham,El,Guerrouj",MOR,Roma,Male
277,1967,"Anne,Smith",GBR,London,Female
276.8,1969,"Maria,Gommers",NED,Leicester,Female
275.3,1971,"Ellen,Tittel",FRG,Sittard,Female
274.9,1973,"Glenda,Reiser",CAN,Victoria,Female
269.5,1973,"Paola,Cacchi",ITA,Viareggio,Female
263.8,1977,"Natalya,Marasescu",ROM,Bucuresti,Female
262.09,1979,"Natalya,Marasescu",ROM,Auckland,Female
261.68,1980,"Mary,Decker",USA,Auckland,Female
260.89,1981,"Tatyana,Veselkova",SOV,Bologna,Female
257.55,1980,"Mary,Decker",USA,"Houston,(unofficial)",Female
258.08,1982,"Mary,Decker",USA,Paris,Female
257.44,1982,"Maricica,Puica",ROM,Rieti,Female
255.8,1984,"Natalja,Artemova",SOV,"Leningrad,(unofficial)",Female
256.71,1985,"Mary,Decker",USA,Zurich,Female
255.61,1989,"Paula,Ivan",ROM,Nice,Female
252.56,1996,"Svetlana,Masterkova",RUS,Zurich,Female